date,channel,units_sold,promotion_funding_aed
2026-08-02,talabat,168,214.21
2026-08-03,deliveroo,114,123.35
2026-08-03,noon_food,62,51.93
2026-08-03,talabat,163,93.72
2026-08-04,deliveroo,121,112.78
2026-08-04,noon_food,47,0.00
2026-08-04,talabat,148,0.00
2026-08-05,deliveroo,93,0.00
2026-08-05,noon_food,47,0.00
2026-08-05,talabat,147,0.00
2026-08-06,deliveroo,140,99.19
2026-08-06,noon_food,57,66.88
2026-08-06,talabat,184,0.00
2026-08-07,deliveroo,166,149.42
2026-08-07,noon_food,84,0.00
2026-08-07,talabat,207,131.04
2026-08-08,deliveroo,121,0.00
2026-08-08,noon_food,75,41.52
2026-08-08,talabat,222,175.29
2026-08-09,deliveroo,104,0.00
2026-08-09,noon_food,66,49.43
2026-08-09,talabat,190,156.88
